Comment,Designator,Footprint,LCSC Part #
,IC2,SON127P600X500X75-8N,
1K 1%,R4,0201,C270365
1K 1%,R5,0201,C270365
1K 1%,R20,0402,C11702
1K 1%,R21,0402,C11702
1M 1%,R14,0603,C22935
1nF 25V,C27,0201,C7694325V
1uF 25V,C32,0402,C52923
4.7K 1%,R6,0402,C25900
4.7nF 50V,C22,0603,C53987
4.7uF 25V,C30,0402,C22367824
5.1K 1%,R12,0201,C274341
5.1K 1%,R13,0201,C274341
10K 1%,R1,0201,C473048
10K 1%,R8,0201,C473048
10K 1%,R16,0201,C473048
10K 1%,R17,0201,C473048
12K 1%,R9,0201,C270363
12MHz,X1,WE-XTAL_CFPX-180,C9002
15pF 50V,C14,0201,C22374851
15pF 50V,C15,0201,C22374851
22K 1%,R10,0201,C474416
27R 1%,R2,0201,C473051
27R 1%,R3,0201,C473051
47uF 10V,C24,0805,C6119904
50K,R7,SMD_TRIMM,C913246
50K 1%,R11,0402,C166559
100K 1%,R15,0201,C270364
100K 1%,R18,0201,C270364
100nF 25V,C1,0201,C76939
100nF 25V,C2,0201,C76939
100nF 25V,C3,0201,C76939
100nF 25V,C4,0201,C76939
100nF 25V,C5,0201,C76939
100nF 25V,C7,0201,C76939
100nF 25V,C9,0201,C76939
100nF 25V,C11,0201,C76939
100nF 25V,C12,0201,C76939
100nF 25V,C13,0201,C76939
100nF 25V,C16,0201,C76939
100nF 25V,C17,0201,C76939
100nF 25V,C18,0201,C76939
100nF 25V,C19,0201,C76939
100nF 25V,C20,0201,C76939
100nF 25V,C21,0201,C76939
100nF 50V,C25,0402,C307331
100nF 50V,C26,0402,C307331
200K 1%,R19,0201,C270357
AP7335-WG-7 ,IC8,SOT23-5,C460382
B3U-1000P ,BOOT,B3U-1000P,C231329
B3U-1000P ,RESET,B3U-1000P,C231329
Blue,PWR,LED-0603,C965807
DMG1012T,T1,SOT23,C2830301
DNI,J2,R0201,
Green,GP25,LED-0603,C965804
JUMPER-3,J1 J3,JUMPER-3,
LM4040B30FTA,REF1,SOT23,C460604
MBR120VLSFT1G,D1,SOD-123,C223608
MCP6001RT-I/OT,IC5,SOT23-5,C154973
MIC5504-3.3YM5 ,IC3,SOT23-5,C41348078
RP2040,IC1,QFN56,C2040
SP0503BAHTG,ESD1,SOT143,C3040626
USB-TYPE-C-018 ,USB1,USB-C,C2927038
2.2uF 25V,C8,0402,C385032
2.2uF 25V,C10,0402,C385032
4.7uF 25V,C31,0402,C22367824
47uF 10V,C23,0805,C6119904
100nF 25V,C6,0201,C76939
TPB1 27,TP2,B1 27,
TPB1 27,TP3,B1 27,
TPB1 27,TP5,B1 27,
TPB1 27,TP6,B1 27,
