Designator,Mid X,Mid Y,Layer,Rotation
BOOT,15.51, 7.14,Top,90.0
C1, 7.24,26.62,Top,90.0
C2, 5.72,21.34,Top,180.0
C3,10.69,17.15,Top,270.0
C4,15.27,21.35,Top,0.0
C5,14.09,27.03,Top,90.0
C7,10.94,27.46,Top,90.0
C9,12.61,27.07,Top,90.0
C11,11.40,17.16,Top,270.0
C12,10.25,27.46,Top,90.0
C13,13.37,27.03,Top,90.0
C14,10.98,14.86,Top,0.0
C15, 9.71,14.86,Top,180.0
C16, 4.97,36.66,Top,90.0
C17,13.35,34.69,Top,180.0
C18,13.14,29.21,Top,270.0
C19,15.49,27.20,Top,180.0
C20,13.71,15.69,Top,180.0
C21,17.41,15.47,Top,90.0
C22, 3.93,42.99,Top,270.0
C24,17.04,40.75,Top,90.0
C25,16.02,43.37,Top,0.0
C26,14.38,38.15,Top,180.0
C27, 7.35,41.74,Top,90.0
C30,15.67,16.69,Top,0.0
C32,13.34,32.80,Top,270.0
D1,16.96,47.93,Top,90.0
ESD1,10.95,41.09,Top,270.0
GP25,10.60, 4.66,Top,0.0
IC1,10.49,22.35,Top,0.0
IC2, 7.57,32.72,Top,90.0
IC3,14.41,40.77,Top,180.0
IC5,15.51,29.20,Top,90.0
IC8,15.39,13.51,Top,270.0
J1,14.23,36.26,Top,0.0
J2,16.34,15.70,Top,0.0
J3, 7.12,12.33,Top,90.0
PWR, 4.61,49.27,Top,270.0
R1,12.72,17.16,Top,90.0
R2,12.34,28.35,Top,90.0
R3,11.63,28.34,Top,90.0
R4,10.69,15.85,Top,270.0
R5, 5.55,28.37,Top,135.0
R6,15.49,35.01,Top,180.0
R7,10.31, 7.47,Top,90.0
R8,15.01,15.71,Top,0.0
R9,15.96,11.29,Top,90.0
R10,16.68,11.30,Top,270.0
R11,13.41, 7.45,Top,90.0
R12, 8.84,43.84,Top,270.0
R13,11.76,43.80,Top,270.0
R14, 5.67,42.82,Top,270.0
R15,13.73,43.38,Top,180.0
R16, 8.07,43.02,Top,270.0
R17, 7.36,43.01,Top,90.0
R18, 8.07,41.74,Top,90.0
R19, 8.06,40.46,Top,90.0
R20,15.45, 3.95,Top,180.0
R21, 4.61,46.44,Top,90.0
REF1,15.87,32.68,Top,270.0
RESET, 6.37, 7.12,Top,90.0
T1, 7.00,38.95,Top,0.0
USB1,10.51,48.65,Top,180.0
X1,10.34,12.72,Top,180.0
C6,11.38,24.53,Bottom,270.0
C8,13.37,24.03,Bottom,90.0
C10,12.29,24.02,Bottom,270.0
C23,16.94,45.84,Bottom,270.0
C31,15.74,13.49,Bottom,180.0
TP2,12.15,47.67,Bottom,0.0
TP3, 9.69,47.64,Bottom,0.0
TP5,12.42, 3.76,Bottom,180.0
TP6, 5.29,26.97,Bottom,180.0
